FUENTE: Base de datos de indicadores del Observatorio de Género en Educación Superior (PUCP)
HOJA: Indicador 2

Participación en campos académicos
Indicador 2: Selectividad de carreras masculinizadas y feminizadas por sexo
I2_a: Tasa de selectividad de grupos de programas masculinizados total
COLUMNAS: Indicador | Grupo de Programas | Clasificación | Nivel | Año | Tasa de selectividad total | Fuente
Indicador: I2_a | Grupo de Programas: Ciencias de la Tierra | Clasificación: Masculinizado | Nivel: Perú | Año: 2022 | Tasa de selectividad total: 3.03 | Fuente: SUNEDU
Indicador: I2_a | Grupo de Programas: Construcción e Ingeniería Civil | Clasificación: Masculinizado | Nivel: Perú | Año: 2022 | Tasa de selectividad total: 2.03 | Fuente: SUNEDU
Indicador: I2_a | Grupo de Programas: Electrónica y Automatización | Clasificación: Masculinizado | Nivel: Perú | Año: 2022 | Tasa de selectividad total: 1.86 | Fuente: SUNEDU
Indicador: I2_a | Grupo de Programas: Física | Clasificación: Masculinizado | Nivel: Perú | Año: 2022 | Tasa de selectividad total: 1.21 | Fuente: SUNEDU
Indicador: I2_a | Grupo de Programas: Matemática | Clasificación: Masculinizado | Nivel: Perú | Año: 2022 | Tasa de selectividad total: 1.43 | Fuente: SUNEDU
Indicador: I2_a | Grupo de Programas: Mecánica y Metalúrgica | Clasificación: Masculinizado | Nivel: Perú | Año: 2022 | Tasa de selectividad total: 2.01 | Fuente: SUNEDU
Indicador: I2_a | Grupo de Programas: Minería y Extracción | Clasificación: Masculinizado | Nivel: Perú | Año: 2022 | Tasa de selectividad total: 2.33 | Fuente: SUNEDU
Indicador: I2_a | Grupo de Programas: Sistemas y Cómputo | Clasificación: Masculinizado | Nivel: Perú | Año: 2022 | Tasa de selectividad total: 2.01 | Fuente: SUNEDU
Indicador: I2_a | Grupo de Programas: Telecomunicaciones | Clasificación: Masculinizado | Nivel: Perú | Año: 2022 | Tasa de selectividad total: 2 | Fuente: SUNEDU
Indicador: I2_a | Grupo de Programas: Ciencias de la Tierra | Clasificación: Masculinizado | Nivel: PUCP | Año: 2022 | Tasa de selectividad total: 2.66 | Fuente: DTI
Indicador: I2_a | Grupo de Programas: Construcción e Ingeniería Civil | Clasificación: Masculinizado | Nivel: PUCP | Año: 2022 | Tasa de selectividad total: 2.63 | Fuente: DTI
Indicador: I2_a | Grupo de Programas: Electrónica y Automatización | Clasificación: Masculinizado | Nivel: PUCP | Año: 2022 | Tasa de selectividad total: 2.24 | Fuente: DTI
Indicador: I2_a | Grupo de Programas: Física | Clasificación: Masculinizado | Nivel: PUCP | Año: 2022 | Tasa de selectividad total: 2.04 | Fuente: DTI
Indicador: I2_a | Grupo de Programas: Matemática | Clasificación: Masculinizado | Nivel: PUCP | Año: 2022 | Tasa de selectividad total: 1.9 | Fuente: DTI
Indicador: I2_a | Grupo de Programas: Mecánica y Metalúrgica | Clasificación: Masculinizado | Nivel: PUCP | Año: 2022 | Tasa de selectividad total: 2.55 | Fuente: DTI
Indicador: I2_a | Grupo de Programas: Minería y Extracción | Clasificación: Masculinizado | Nivel: PUCP | Año: 2022 | Tasa de selectividad total: 3.22 | Fuente: DTI
Indicador: I2_a | Grupo de Programas: Sistemas y Cómputo | Clasificación: Masculinizado | Nivel: PUCP | Año: 2022 | Tasa de selectividad total: 2.73 | Fuente: DTI
Indicador: I2_a | Grupo de Programas: Telecomunicaciones | Clasificación: Masculinizado | Nivel: PUCP | Año: 2022 | Tasa de selectividad total: 2.56 | Fuente: DTI
Indicador: I2_a | Grupo de Programas: Ciencias de la Tierra | Clasificación: Masculinizado | Nivel: Perú | Año: 2023 | Tasa de selectividad total: 3.5 | Fuente: SUNEDU
Indicador: I2_a | Grupo de Programas: Construcción e Ingeniería Civil | Clasificación: Masculinizado | Nivel: Perú | Año: 2023 | Tasa de selectividad total: 2.13 | Fuente: SUNEDU
Indicador: I2_a | Grupo de Programas: Electrónica y Automatización | Clasificación: Masculinizado | Nivel: Perú | Año: 2023 | Tasa de selectividad total: 2.2 | Fuente: SUNEDU
Indicador: I2_a | Grupo de Programas: Física | Clasificación: Masculinizado | Nivel: Perú | Año: 2023 | Tasa de selectividad total: 1.52 | Fuente: SUNEDU
Indicador: I2_a | Grupo de Programas: Matemática | Clasificación: Masculinizado | Nivel: Perú | Año: 2023 | Tasa de selectividad total: 1.8 | Fuente: SUNEDU
Indicador: I2_a | Grupo de Programas: Mecánica y Metalúrgica | Clasificación: Masculinizado | Nivel: Perú | Año: 2023 | Tasa de selectividad total: 2.2 | Fuente: SUNEDU
