FUENTE: Base de datos de indicadores del Observatorio de Género en Educación Superior (PUCP)
HOJA: Indicador 4

Acceso, permanencia y culminación
Indicador 4: Graduación de estudiantes, por sexo
I4_a: Porcentaje de graduados/as que son mujeres (bachiller)
I4_b: Porcentaje de graduados/as que son hombres (bachiller)
COLUMNAS: Nivel | Año | % Mujeres | % Hombres | Fuente
Nivel: OCDE | Año: 2017 | % Mujeres: 58.62 | % Hombres: 41.38 | Fuente: OCDE Data Explorer
Nivel: OCDE | Año: 2018 | % Mujeres: 58.87 | % Hombres: 41.13 | Fuente: OCDE Data Explorer
Nivel: OCDE | Año: 2019 | % Mujeres: 58.66 | % Hombres: 41.34 | Fuente: OCDE Data Explorer
Nivel: OCDE | Año: 2020 | % Mujeres: 58.72 | % Hombres: 41.28 | Fuente: OCDE Data Explorer
Nivel: OCDE | Año: 2021 | % Mujeres: 58.88 | % Hombres: 41.12 | Fuente: OCDE Data Explorer
Nivel: OCDE | Año: 2022 | % Mujeres: 59.06 | % Hombres: 40.94 | Fuente: OCDE Data Explorer
Nivel: OCDE | Año: 2023 | % Mujeres: 59.36 | % Hombres: 40.64 | Fuente: OCDE Data Explorer
Nivel: Unión Europea | Año: 2017 | % Mujeres: 59.8 | % Hombres: 40.2 | Fuente: OCDE Data Explorer
Nivel: Unión Europea | Año: 2018 | % Mujeres: 59.93 | % Hombres: 40.07 | Fuente: OCDE Data Explorer
Nivel: Unión Europea | Año: 2019 | % Mujeres: 59.43 | % Hombres: 40.57 | Fuente: OCDE Data Explorer
Nivel: Unión Europea | Año: 2020 | % Mujeres: 59.69 | % Hombres: 40.31 | Fuente: OCDE Data Explorer
Nivel: Unión Europea | Año: 2021 | % Mujeres: 59.63 | % Hombres: 40.37 | Fuente: OCDE Data Explorer
Nivel: Unión Europea | Año: 2022 | % Mujeres: 59.87 | % Hombres: 40.13 | Fuente: OCDE Data Explorer
Nivel: Unión Europea | Año: 2023 | % Mujeres: 60.25 | % Hombres: 39.75 | Fuente: OCDE Data Explorer
Nivel: Perú | Año: 2022 | % Mujeres: 56.89 | % Hombres: 43.11 | Fuente: OCDE Data Explorer
Nivel: PUCP | Año: 2017 | % Mujeres: 47.77 | % Hombres: 52.23 | Fuente: DTI
Nivel: PUCP | Año: 2018 | % Mujeres: 49.32 | % Hombres: 50.68 | Fuente: DTI
Nivel: PUCP | Año: 2019 | % Mujeres: 50.79 | % Hombres: 49.21 | Fuente: DTI
Nivel: PUCP | Año: 2020 | % Mujeres: 51.07 | % Hombres: 48.93 | Fuente: DTI
Nivel: PUCP | Año: 2021 | % Mujeres: 49.86 | % Hombres: 50.14 | Fuente: DTI
Nivel: PUCP | Año: 2022 | % Mujeres: 52.85 | % Hombres: 47.15 | Fuente: DTI
Nivel: PUCP | Año: 2023 | % Mujeres: 51.7 | % Hombres: 48.3 | Fuente: DTI
Nivel: I4_c: Porcentaje de graduados/as que son mujeres (maestría)
Nivel: I4_d: Porcentaje de graduados/as que son hombres (maestría)
Nivel: Nivel | Año: Año | % Mujeres: % Mujeres | % Hombres: % Hombres | Fuente: Fuente
Nivel: OCDE | Año: 2017 | % Mujeres: 57.22 | % Hombres: 42.78 | Fuente: OCDE Data Explorer
Nivel: OCDE | Año: 2018 | % Mujeres: 57.55 | % Hombres: 42.45 | Fuente: OCDE Data Explorer
Nivel: OCDE | Año: 2019 | % Mujeres: 57.87 | % Hombres: 42.13 | Fuente: OCDE Data Explorer
Nivel: OCDE | Año: 2020 | % Mujeres: 57.9 | % Hombres: 42.1 | Fuente: OCDE Data Explorer
